adsorption_energy,adsorbed_molecule,adsorbed_molecule_encoded
-18.985339,CH4,2
-21.716154,CH4,2
-18.16831,CH4,2
-15.976171,CH4,2
-19.153462,CH4,2
-17.39627,CH4,2
-15.960163,CH4,2
-20.989907,CH4,2
-17.774194,CH4,2
-22.591377,CH4,2
-17.096793,CH4,2
-18.438102,CH4,2
-21.406647,CH4,2
-23.033884,CH4,2
-24.15089,CH4,2
-18.502136,CH4,2
-19.721944,CH4,2
-18.332027,CH4,2
-17.559337,CH4,2
-19.768479,CH4,2
-17.84753,CH4,2
-17.452957,CH4,2
-18.029458,CH4,2
-24.322709,CH4,2
-17.00514,CH4,2
-21.663649,CH4,2
-19.36424,CH4,2
-19.436129,CH4,2
-18.839937,CH4,2
-21.860965,CH4,2
-17.763026,CH4,2
-13.336212,CH4,2
-17.982764,CH4,2
-18.097533,CH4,2
-18.747708,CH4,2
-17.612424,CH4,2
-21.1863,CH4,2
-22.034,CH4,2
-17.225571,CH4,2
-16.36287,CH4,2
-15.356913,CH4,2
-16.806636,CH4,2
-16.970513,CH4,2
-16.755459,CH4,2
-18.106399,CH4,2
-20.485321,CH4,2
-17.013969,CH4,2
-21.504094,CH4,2
-23.114568,CH4,2
-15.203847,CH4,2
-18.082874,CH4,2
-16.907113,CH4,2
-16.625288,CH4,2
-13.515217,CH4,2
-15.936084,CH4,2
-15.050139,CH4,2
-15.826778,CH4,2
-18.25679,CH4,2
-16.321147,CH4,2
-20.961871,CH4,2
-20.338664,CH4,2
-19.125469,CH4,2
-15.040593,CH4,2
-16.440469,CH4,2
-16.947686,CH4,2
-13.988062,CH4,2
-19.040981,CH4,2
-17.476731,CH4,2
-18.52343,CH4,2
-19.340203,CH4,2
-16.480125,CH4,2
-20.620829,CH4,2
-11.709893,CH4,2
-14.558474,CH4,2
-17.263383,CH4,2
-16.200121,CH4,2
-16.324827,CH4,2
-16.417546,CH4,2
-20.395986,CH4,2
-20.797721,CH4,2
-19.831182,CH4,2
-17.638382,CH4,2
-16.66269,CH4,2
-13.755628,CH4,2
-17.825164,CH4,2
-23.423691,CH4,2
-17.109809,CH4,2
-17.256252,CH4,2
-18.957622,CH4,2
-21.690625,CH4,2
-20.764762,CH4,2
-21.762576,CH4,2
-19.04578,CH4,2
-21.842303,CH4,2
-15.229081,CH4,2
-11.211231,CH4,2
-18.313522,CH4,2
-22.729105,CH4,2
-22.276872,CH4,2
-15.270397,CH4,2
-16.998881,CH4,2
-16.156274,CH4,2
-24.355572,CH4,2
-17.969563,CH4,2
-16.322395,CH4,2
-20.358964,CH4,2
-20.244438,CH4,2
-20.650561,CH4,2
-16.340315,CH4,2
-18.544088,CH4,2
-21.289354,CH4,2
-20.939588,CH4,2
-22.040735,CH4,2
-16.23356,CH4,2
-22.241817,CH4,2
-17.483595,CH4,2
-15.024167,CH4,2
-23.810817,CH4,2
-19.370814,CH4,2
-21.449823,CH4,2
-18.314743,CH4,2
-21.049085,CH4,2
-14.876793,CH4,2
-22.693933,CH4,2
-21.138183,CH4,2
-16.914542,CH4,2
-15.458996,CH4,2
-14.230326,CH4,2
-22.013954,CH4,2
-14.212187,CH4,2
-14.286822,CH4,2
-13.506829,CH4,2
-17.147731,CH4,2
-16.378107,CH4,2
-16.530721,CH4,2
-18.258968,CH4,2
-19.232719,CH4,2
-18.972157,CH4,2
-17.905537,CH4,2
-21.463999,CH4,2
-13.970822,CH4,2
-17.841353,CH4,2
-16.238713,CH4,2
-15.971576,CH4,2
-17.225693,CH4,2
-15.991788,CH4,2
-19.977564,CH4,2
-17.312906,CH4,2
-16.577019,CH4,2
-15.739701,CH4,2
-19.005976,CH4,2
-15.485437,CH4,2
-16.465997,CH4,2
-15.622711,CH4,2
-14.129717,CH4,2
-19.203735,CH4,2
-20.549473,CH4,2
-15.33361,CH4,2
-15.265067,CH4,2
-21.38818,CH4,2
-20.680638,CH4,2
-19.027747,CH4,2
-17.196898,CH4,2
-16.695097,CH4,2
-18.070852,CH4,2
-15.647077,CH4,2
-13.728172,CH4,2
-14.479905,CH4,2
-19.31791,CH4,2
-14.927626,CH4,2
-17.793288,CH4,2
-16.574923,CH4,2
-18.468888,CH4,2
-18.924791,CH4,2
-15.036613,CH4,2
-19.749753,CH4,2
-17.852978,CH4,2
-16.173729,CH4,2
-18.26457,CH4,2
-16.760057,CH4,2
-16.77562,CH4,2
-20.62579,CH4,2
-18.848926,CH4,2
-20.539468,CH4,2
-20.435501,CH4,2
-18.441724,CH4,2
-18.064582,CH4,2
-15.653769,CH4,2
-22.290248,CH4,2
-18.200447,CH4,2
-21.302544,CH4,2
-17.044957,CH4,2
-15.751801,CH4,2
-15.125575,CH4,2
-17.810891,CH4,2
-19.816445,CH4,2
-18.453141,CH4,2
-18.515974,CH4,2
-19.637163,CH4,2
-15.715662,CH4,2
-18.944309,CH4,2
-22.110983,CH4,2
-19.033886,CH4,2
-15.469216,CH4,2
-19.911641,CH4,2
-17.654815,CH4,2
-24.798257,CH4,2
-16.063237,CH4,2
-16.866292,CH4,2
-17.511205,CH4,2
-20.461454,CH4,2
-20.349267,CH4,2
-21.912836,CH4,2
-17.559107,CH4,2
-17.313365,CH4,2
-16.973431,CH4,2
-20.210604,CH4,2
-19.202176,CH4,2
-16.018426,CH4,2
-17.982646,CH4,2
-15.383173,CH4,2
-16.169207,CH4,2
-16.433989,CH4,2
-17.650729,CH4,2
-20.458039,CH4,2
-17.489391,CH4,2
-24.189858,CH4,2
-21.579866,CH4,2
-19.33035,CH4,2
-15.369252,CH4,2
-22.235541,CH4,2
-21.343786,CH4,2
-18.46411,CH4,2
-20.413216,CH4,2
-17.322065,CH4,2
